"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/bcrypt/bcrypt",1009,0,2400,2500,1743,7732,60,4.00
"None","Total",1009,0,2400,2500,1743,7732,60,4.00
