"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /api//CSharpTrigger",39,168000,190000,190000,220000,220000,220000,220000,220000,220470
"None Total",39,168000,190000,190000,220000,220000,220000,220000,220000,220470
