"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /api//CSharpTrigger",100,2500,2500,2600,2800,3100,3200,3600,6000,5963
"None Total",100,2500,2500,2600,2800,3100,3200,3600,6000,5963
