"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/api//CSharpTrigger",39,46,168000,182650,167344,220470,62,0.18
"None","Total",39,46,168000,182650,167344,220470,62,0.18
