"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","//shoutcloud",100,0,110,112,106,193,11,9.34
"None","Total",100,0,110,112,106,193,11,9.34
