"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/api/CSharpTrigger",100991,0,1600,2751,112,33482,13,346.63
"None","Total",100991,0,1600,2751,112,33482,13,346.63
