"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/prod//SHOUTCLOUD",1009,0,71,95,57,1394,11,106.75
"None","Total",1009,0,71,95,57,1394,11,106.75
