"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /api/CSharpTrigger",10099,180,200,220,240,450,750,1100,1400,1971
"None Total",10099,180,200,220,240,450,750,1100,1400,1971
