"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/prod//SHOUTCLOUD",100,0,70,81,60,425,11,12.32
"None","Total",100,0,70,81,60,425,11,12.32
