"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/api/CSharpTrigger",100,0,120,126,116,313,13,8.17
"None","Total",100,0,120,126,116,313,13,8.17
