"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/api/CSharpTrigger",1009,0,120,137,113,882,13,76.62
"None","Total",1009,0,120,137,113,882,13,76.62
